title,url
Beyond Good and Evil by Friedrich Wilhelm Nietzsche,https://www.gutenberg.org/files/4363/4363-h/4363-h.htm
Common Sense by Thomas Paine,https://www.gutenberg.org/files/147/147-h/147-h.htm
David Copperfield by Charles Dickens,https://www.gutenberg.org/files/766/766-h/766-h.htm
Candide by Voltaire,https://www.gutenberg.org/files/19942/19942-h/19942-h.htm
The private life of Henry Maitland: A record dictated by J. H. by Morley Roberts,https://www.gutenberg.org/files/69000/69000-h/69000-h.htm
Essays of Michel de Montaigne — Complete by Michel de Montaigne,https://www.gutenberg.org/files/3600/3600-h/3600-h.htm
Catalogue of a collection of early drawings and pictures of London: With some contemporary furniture,https://www.gutenberg.org/files/68989/68989-h/68989-h.htm
"The Philippine Islands, 1493-1898 — Volume 07 of 55",https://www.gutenberg.org/files/13701/13701-h/13701-h.htm
The kopje farm by William Johnston,https://www.gutenberg.org/files/68999/68999-h/68999-h.htm
Siddhartha by Hermann Hesse,https://www.gutenberg.org/files/2500/2500-h/2500-h.htm
The Life and Adventures of Robinson Crusoe by Daniel Defoe,https://www.gutenberg.org/files/521/521-h/521-h.htm
Gulliver's Travels into Several Remote Nations of the World by Jonathan Swift,https://www.gutenberg.org/files/829/829-h/829-h.htm
Calculus Made Easy by Silvanus P.  Thompson,https://www.gutenberg.org/files/33283/33283-h/33283-h.htm
Songs of Innocence and of Experience by William Blake,https://www.gutenberg.org/files/1934/1934-h/1934-h.htm
Sense and Sensibility by Jane Austen,https://www.gutenberg.org/files/161/161-h/161-h.htm
Carmilla by Joseph Sheridan Le Fanu,https://www.gutenberg.org/files/10007/10007-h/10007-h.htm
The Turn of the Screw by Henry James,https://www.gutenberg.org/files/209/209-h/209-h.htm
From beyond the stars by Murray Leinster,https://www.gutenberg.org/files/68982/68982-h/68982-h.htm
A Pickle for the Knowing Ones by Timothy Dexter,https://www.gutenberg.org/files/43453/43453-h/43453-h.htm
You are forbidden! by Jerry Shelton,https://www.gutenberg.org/files/68968/68968-h/68968-h.htm
Uncle Tom's Cabin by Harriet Beecher Stowe,https://www.gutenberg.org/files/203/203-h/203-h.htm
Cook book of tested receipes by Ida Lee Cary,https://www.gutenberg.org/files/68983/68983-h/68983-h.htm
The King James Version of the Bible,https://www.gutenberg.org/files/10/10-h/10-h.htm
Helps and hints for Hallowe'en by Laura Rountree Smith,https://www.gutenberg.org/files/68984/68984-h/68984-h.htm
The Confessions of St. Augustine by Bishop of Hippo Saint Augustine,https://www.gutenberg.org/files/3296/3296-h/3296-h.htm
Meditations by Emperor of Rome Marcus Aurelius,https://www.gutenberg.org/files/2680/2680-h/2680-h.htm
The Man Who Laughs: A Romance of English History by Victor Hugo,https://www.gutenberg.org/files/12587/12587-h/12587-h.htm
Robert's Rules of Order by Henry M.  Robert,https://www.gutenberg.org/files/9097/9097-h/9097-h.htm
金雲翹傳 by Qingxincairen,https://www.gutenberg.org/files/27107/27107-h/27107-h.htm
Moby Multiple Language Lists of Common Words by Grady Ward,https://www.gutenberg.org/files/3206/3206-h/3206-h.htm
Noli Me Tangere by José Rizal,https://www.gutenberg.org/files/20228/20228-h/20228-h.htm
Pygmalion by Bernard Shaw,https://www.gutenberg.org/files/3825/3825-h/3825-h.htm
Six Months at the Cape by R. M.  Ballantyne,https://www.gutenberg.org/files/21704/21704-h/21704-h.htm
The Elements of Style by William Strunk,https://www.gutenberg.org/files/37134/37134-h/37134-h.htm
The Jungle by Upton Sinclair,https://www.gutenberg.org/files/140/140-h/140-h.htm
The Art of War by active 6th century B.C. Sunzi,https://www.gutenberg.org/files/132/132-h/132-h.htm
